Match_ID,Season,Team1,Team2,Venue,City,Toss_Winner,Toss_Decision,Winner,Win_Margin,Win_Type,Win_By,Player_of_Match,Match_Type,Target_Score,Overs,Toss_Winner_Won_Match,Batting_First_Won
1,2008,Deccan Chargers,Rajasthan Royals,HPCA Stadium,Dharamsala,Deccan Chargers,Field,Deccan Chargers,100,Runs,100 runs,Chamara Silva,League,134,20,Yes,No
2,2008,Rajasthan Royals,Chennai Super Kings,BRSABV Ekana Cricket Stadium,Lucknow,Rajasthan Royals,Field,Rajasthan Royals,1,Wickets,1 wickets,Yuzvendra Chahal,League,167,20,Yes,No
3,2008,Mumbai Indians,Kings XI Punjab,Eden Gardens,Kolkata,,Field,Mumbai Indians,7,Wickets,7 wickets,Lasith Malinga,League,173,20,No,Yes
4,2008,Delhi Daredevils,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,Delhi Daredevils,Field,Delhi Daredevils,3,Wickets,3 wickets,Gautam Gambhir,League,152,20,Yes,No
5,2008,Rajasthan Royals,Chennai Super Kings,Punjab Cricket Association Stadium,Mohali,Rajasthan Royals,Bat,Rajasthan Royals,1,Wickets,1 wickets,Jos Buttler,League,200,20,Yes,Yes
6,2008,Kings XI Punjab,Deccan Chargers,Narendra Modi Stadium,Ahmedabad,Deccan Chargers,Field,Deccan Chargers,4,Wickets,4 wickets,Adam Gilchrist,League,160,20,Yes,No
7,2008,Deccan Chargers,Royal Challengers Bangalore,Narendra Modi Stadium,Ahmedabad,Deccan Chargers,Bat,Royal Challengers Bangalore,9,Wickets,9 wickets,Yuzvendra Chahal,League,195,20,No,No
8,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Punjab Cricket Association Stadium,Mohali,Kolkata Knight Riders,Bat,Kolkata Knight Riders,50,Runs,50 runs,Manoj Tiwary,League,165,20,Yes,Yes
9,2008,Kings XI Punjab,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,Field,Mumbai Indians,5,Wickets,5 wickets,Suryakumar Yadav,League,140,20,Yes,No
10,2008,Royal Challengers Bangalore,Kings XI Punjab,,,Royal Challengers Bangalore,Field,Kings XI Punjab,6,Wickets,6 wickets,Yuvraj Singh,League,140,20,No,Yes
11,2008,Chennai Super Kings,Kolkata Knight Riders,Wankhede Stadium,Mumbai,Kolkata Knight Riders,Bat,Kolkata Knight Riders,75,Runs,75 runs,Manoj Tiwary,League,181,20,Yes,Yes
12,2008,Chennai Super Kings,Delhi Daredevils,Sardar Patel Stadium,Ahmedabad,Delhi Daredevils,Bat,Chennai Super Kings,1,Wickets,1 wickets,Suresh Raina,League,207,20,No,No
13,2008,Mumbai Indians,Kings XI Punjab,Holkar Cricket Stadium,Indore,Mumbai Indians,Field,Kings XI Punjab,39,Runs,39 runs,David Miller,League,202,20,No,Yes
14,2008,Delhi Daredevils,Rajasthan Royals,MA Chidambaram Stadium,Chennai,Rajasthan Royals,Field,Delhi Daredevils,1,Wickets,1 wickets,Kagiso Rabada,League,200,20,No,Yes
15,2008,Kings XI Punjab,Rajasthan Royals,JSCA International Stadium,Ranchi,Kings XI Punjab,Field,,18,Runs,18 runs,Mayank Agarwal,League,151,20,Yes,No
16,2008,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,5,Wickets,5 wickets,Daniel Vettori,League,130,20,Yes,No
17,2008,Delhi Daredevils,Chennai Super Kings,DY Patil Stadium,Navi Mumbai,Chennai Super Kings,Field,Delhi Daredevils,24,Runs,24 runs,,League,154,20,No,Yes
18,2008,Chennai Super Kings,Mumbai Indians,JSCA International Stadium,Ranchi,Chennai Super Kings,Bat,Mumbai Indians,22,Runs,22 runs,Tilak Varma,League,140,20,No,No
19,2008,Delhi Daredevils,Rajasthan Royals,Sardar Patel Stadium,Ahmedabad,Delhi Daredevils,Bat,Rajasthan Royals,37,Runs,37 runs,Riyan Parag,League,165,20,No,No
20,2008,Chennai Super Kings,Deccan Chargers,HPCA Stadium,Dharamsala,Chennai Super Kings,Bat,Deccan Chargers,5,Wickets,5 wickets,Andrew Symonds,League,162,20,No,No
21,2008,Deccan Chargers,Rajasthan Royals,DY Patil Stadium,Navi Mumbai,Deccan Chargers,Field,Deccan Chargers,6,Wickets,6 wickets,Chamara Silva,League,173,20,Yes,No
22,2008,Deccan Chargers,Chennai Super Kings,DY Patil Stadium,Navi Mumbai,Chennai Super Kings,Field,Chennai Super Kings,7,Wickets,7 wickets,Murali Vijay,League,156,20,Yes,No
23,2008,Royal Challengers Bangalore,Rajasthan Royals,Punjab Cricket Association Stadium,Mohali,Royal Challengers Bangalore,Field,Rajasthan Royals,64,Runs,64 runs,Sanju Samson,League,191,20,No,Yes
24,2008,Delhi Daredevils,Royal Challengers Bangalore,Sardar Patel Stadium,Ahmedabad,Royal Challengers Bangalore,Bat,Delhi Daredevils,70,Runs,70 runs,David Warner,League,155,20,No,No
25,2008,Mumbai Indians,Royal Challengers Bangalore,VCA Stadium,Nagpur,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,10,Runs,10 runs,Yuzvendra Chahal,League,161,20,Yes,No
26,2008,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,Delhi,Delhi Daredevils,Bat,Delhi Daredevils,76,Runs,76 runs,Morne Morkel,League,159,20,Yes,Yes
27,2008,Chennai Super Kings,Royal Challengers Bangalore,BRSABV Ekana Cricket Stadium,Lucknow,Chennai Super Kings,Bat,Royal Challengers Bangalore,14,Runs,14 runs,Dinesh Karthik,League,217,20,No,No
28,2008,Chennai Super Kings,Kings XI Punjab,Shaheed Veer Narayan Singh International Stadium,Raipur,Kings XI Punjab,Bat,Kings XI Punjab,28,Runs,28 runs,Adam Gilchrist,League,176,20,Yes,Yes
29,2008,Kolkata Knight Riders,Kings XI Punjab,Rajiv Gandhi International Stadium,Hyderabad,Kolkata Knight Riders,Field,Kolkata Knight Riders,82,Runs,82 runs,Andre Russell,League,138,20,Yes,No
30,2008,Kings XI Punjab,Mumbai Indians,Sardar Patel Stadium,Ahmedabad,Mumbai Indians,Bat,Kings XI Punjab,9,Wickets,9 wickets,Adam Gilchrist,League,166,20,No,No
31,2008,Chennai Super Kings,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,Field,Kings XI Punjab,70,Runs,70 runs,Mohammad Shami,League,167,20,Yes,No
32,2008,Chennai Super Kings,Royal Challengers Bangalore,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Chennai Super Kings,Bat,Chennai Super Kings,1,Wickets,1 wickets,Suresh Raina,League,193,20,Yes,Yes
33,2008,Mumbai Indians,Deccan Chargers,MA Chidambaram Stadium,Chennai,Deccan Chargers,Bat,Deccan Chargers,76,Runs,76 runs,Chamara Silva,League,209,20,Yes,Yes
34,2008,Deccan Chargers,Mumbai Indians,DY Patil Stadium,Navi Mumbai,Deccan Chargers,Field,Deccan Chargers,52,Runs,52 runs,Andrew Symonds,League,190,20,Yes,No
35,2008,Chennai Super Kings,Deccan Chargers,Punjab Cricket Association Stadium,Mohali,Chennai Super Kings,Field,Deccan Chargers,12,Runs,12 runs,Rohit Sharma,League,195,20,No,Yes
36,2008,Rajasthan Royals,Royal Challengers Bangalore,VCA Stadium,Nagpur,Royal Challengers Bangalore,Field,Rajasthan Royals,98,Runs,98 runs,Steven Smith,League,195,20,No,Yes
37,2008,Kolkata Knight Riders,Delhi Daredevils,Barabati Stadium,Cuttack,Delhi Daredevils,Field,Kolkata Knight Riders,31,Runs,31 runs,Andre Russell,League,187,20,No,Yes
38,2008,Royal Challengers Bangalore,Rajasthan Royals,Maharashtra Cricket Association Stadium,Pune,Rajasthan Royals,Field,Rajasthan Royals,40,Runs,40 runs,Shane Watson,League,196,20,Yes,No
39,2008,Rajasthan Royals,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Hyderabad,Kolkata Knight Riders,Bat,Rajasthan Royals,52,Runs,52 runs,Yuzvendra Chahal,League,200,20,No,No
40,2008,Chennai Super Kings,Mumbai Indians,VCA Stadium,Nagpur,Mumbai Indians,Bat,Chennai Super Kings,9,Runs,9 runs,Moeen Ali,League,184,20,No,No
41,2008,Rajasthan Royals,Delhi Daredevils,Brabourne Stadium,Mumbai,Delhi Daredevils,Bat,Delhi Daredevils,1,Wickets,1 wickets,Axar Patel,League,178,20,Yes,Yes
42,2008,Chennai Super Kings,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Raipur,,Bat,Chennai Super Kings,37,Runs,37 runs,Murali Vijay,League,136,20,Yes,Yes
43,2008,Delhi Daredevils,Rajasthan Royals,Rajiv Gandhi International Stadium,Hyderabad,Rajasthan Royals,Field,Delhi Daredevils,1,Wickets,1 wickets,Shikhar Dhawan,League,187,20,No,Yes
44,2008,Chennai Super Kings,Royal Challengers Bangalore,Brabourne Stadium,Mumbai,Royal Challengers Bangalore,Field,Chennai Super Kings,6,Wickets,6 wickets,Devon Conway,League,219,20,No,Yes
45,2008,Rajasthan Royals,Chennai Super Kings,Eden Gardens,Kolkata,Rajasthan Royals,Field,Rajasthan Royals,2,Wickets,2 wickets,Ajinkya Rahane,League,151,20,Yes,No
46,2008,Kings XI Punjab,Delhi Daredevils,VCA Stadium,Nagpur,Kings XI Punjab,Field,Kings XI Punjab,3,Wickets,3 wickets,Chris Gayle,League,196,20,Yes,No
47,2008,Delhi Daredevils,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,Delhi Daredevils,Field,Delhi Daredevils,7,Wickets,7 wickets,David Warner,League,197,20,Yes,No
48,2008,Delhi Daredevils,Rajasthan Royals,Punjab Cricket Association Stadium,Mohali,Rajasthan Royals,Bat,Delhi Daredevils,8,Wickets,8 wickets,Kagiso Rabada,League,178,20,No,No
49,2008,Chennai Super Kings,Royal Challengers Bangalore,Brabourne Stadium,Mumbai,Chennai Super Kings,Field,,6,Wickets,6 wickets,Chris Gayle,League,166,20,No,Yes
50,2008,Rajasthan Royals,Kolkata Knight Riders,Barabati Stadium,Cuttack,Kolkata Knight Riders,Field,Kolkata Knight Riders,8,Wickets,8 wickets,Nitish Rana,League,137,20,Yes,No
51,2008,Royal Challengers Bangalore,Kings XI Punjab,Rajiv Gandhi International Stadium,Hyderabad,Kings XI Punjab,Field,Kings XI Punjab,9,Runs,9 runs,Yuvraj Singh,League,139,20,Yes,No
52,2008,Mumbai Indians,Royal Challengers Bangalore,Holkar Cricket Stadium,Indore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,1,Wickets,1 wickets,Shane Bond,League,177,20,Yes,No
53,2008,Royal Challengers Bangalore,Deccan Chargers,Holkar Cricket Stadium,Indore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,69,Runs,69 runs,Rajat Patidar,League,158,20,Yes,No
54,2008,Deccan Chargers,Chennai Super Kings,Eden Gardens,Kolkata,Deccan Chargers,Field,Deccan Chargers,49,Runs,49 runs,VVS Laxman,League,154,20,Yes,No
55,2008,Kings XI Punjab,Royal Challengers Bangalore,BRSABV Ekana Cricket Stadium,Lucknow,Kings XI Punjab,Bat,Royal Challengers Bangalore,3,Wickets,3 wickets,,Playoff,160,20,No,No
56,2008,Mumbai Indians,Kolkata Knight Riders,Punjab Cricket Association Stadium,Mohali,Mumbai Indians,Field,Mumbai Indians,24,Runs,24 runs,Sachin Tendulkar,Playoff,158,20,Yes,No
57,2008,Rajasthan Royals,Kings XI Punjab,Rajiv Gandhi International Stadium,Hyderabad,Rajasthan Royals,Bat,Kings XI Punjab,3,Wickets,3 wickets,David Miller,Playoff,168,20,No,No
58,2008,Deccan Chargers,Mumbai Indians,JSCA International Stadium,Ranchi,Deccan Chargers,Bat,Mumbai Indians,8,Wickets,8 wickets,Quinton de Kock,Final,142,20,No,No
59,2008,Delhi Daredevils,Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium,Raipur,Kolkata Knight Riders,Bat,Delhi Daredevils,3,Wickets,3 wickets,Shreyas Iyer,Playoff,178,20,No,No
60,2009,Kolkata Knight Riders,Delhi Daredevils,St George's Park,Port Elizabeth,Kolkata Knight Riders,Bat,Delhi Daredevils,25,Runs,25 runs,Gautam Gambhir,League,219,20,No,No
61,2009,Delhi Daredevils,Kolkata Knight Riders,Kingsmead Stadium,Durban,Delhi Daredevils,Bat,Kolkata Knight Riders,97,Runs,97 runs,Robin Uthappa,League,150,20,No,No
62,2009,Royal Challengers Bangalore,Kings XI Punjab,Newlands Cricket Ground,Cape Town,Royal Challengers Bangalore,Bat,Kings XI Punjab,13,Runs,13 runs,Chris Gayle,League,185,20,No,No
63,2009,Kings XI Punjab,Kolkata Knight Riders,Newlands Cricket Ground,Cape Town,Kolkata Knight Riders,Field,Kings XI Punjab,73,Runs,73 runs,KL Rahul,League,178,20,No,Yes
64,2009,Rajasthan Royals,Kings XI Punjab,Kingsmead Stadium,Durban,Rajasthan Royals,Field,Kings XI Punjab,1,Wickets,1 wickets,KL Rahul,League,177,20,No,Yes
65,2009,Delhi Daredevils,Royal Challengers Bangalore,St George's Park,Port Elizabeth,Royal Challengers Bangalore,Bat,Delhi Daredevils,9,Wickets,9 wickets,Rishabh Pant,League,162,20,No,No
66,2009,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead Stadium,Durban,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,86,Runs,86 runs,AB de Villiers,League,171,20,Yes,Yes
67,2009,Kings XI Punjab,Royal Challengers Bangalore,Wanderers Stadium,Johannesburg,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,1,Runs,1 runs,Glenn Maxwell,League,200,20,Yes,No
68,2009,Chennai Super Kings,Deccan Chargers,Wanderers Stadium,Johannesburg,Deccan Chargers,Bat,Deccan Chargers,9,Wickets,9 wickets,Andrew Symonds,League,138,20,Yes,Yes
69,2009,Delhi Daredevils,Mumbai Indians,Kingsmead Stadium,Durban,Mumbai Indians,Field,Mumbai Indians,33,Runs,33 runs,Quinton de Kock,League,208,20,Yes,No
70,2009,Deccan Chargers,Kings XI Punjab,Wanderers Stadium,Johannesburg,Kings XI Punjab,Field,Kings XI Punjab,23,Runs,23 runs,Mayank Agarwal,League,135,20,Yes,No
71,2009,Delhi Daredevils,Rajasthan Royals,Kingsmead Stadium,Durban,Delhi Daredevils,Field,Rajasthan Royals,9,Wickets,9 wickets,Shane Warne,League,163,20,No,Yes
72,2009,Royal Challengers Bangalore,Mumbai Indians,Kingsmead Stadium,Durban,Royal Challengers Bangalore,Field,Mumbai Indians,6,Wickets,6 wickets,Lasith Malinga,League,146,20,No,Yes
73,2009,Chennai Super Kings,Mumbai Indians,St George's Park,Port Elizabeth,Mumbai Indians,Bat,Mumbai Indians,51,Runs,51 runs,Krunal Pandya,League,194,20,Yes,Yes
74,2009,Delhi Daredevils,Kings XI Punjab,Kingsmead Stadium,Durban,,Bat,Kings XI Punjab,78,Runs,78 runs,David Miller,League,217,20,Yes,Yes
75,2009,Kolkata Knight Riders,Chennai Super Kings,St George's Park,Port Elizabeth,Chennai Super Kings,Field,Chennai Super Kings,9,Wickets,9 wickets,Michael Hussey,League,177,20,Yes,No
76,2009,Delhi Daredevils,Deccan Chargers,Newlands Cricket Ground,Cape Town,Delhi Daredevils,Field,Deccan Chargers,82,Runs,82 runs,Rohit Sharma,League,157,20,No,Yes
77,2009,Royal Challengers Bangalore,Rajasthan Royals,St George's Park,Port Elizabeth,Royal Challengers Bangalore,Bat,Rajasthan Royals,87,Runs,87 runs,Jos Buttler,League,138,20,No,No
78,2009,Delhi Daredevils,Rajasthan Royals,Newlands Cricket Ground,Cape Town,Delhi Daredevils,Field,Delhi Daredevils,7,Runs,7 runs,Axar Patel,League,155,20,Yes,No
79,2009,Mumbai Indians,Kings XI Punjab,Wanderers Stadium,Johannesburg,Mumbai Indians,Field,Mumbai Indians,91,Runs,91 runs,Ishan Kishan,League,139,20,Yes,No
80,2009,Delhi Daredevils,Royal Challengers Bangalore,St George's Park,,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,3,Wickets,3 wickets,Virat Kohli,League,170,20,Yes,Yes
81,2009,Delhi Daredevils,Mumbai Indians,Wanderers Stadium,Johannesburg,Delhi Daredevils,Field,Delhi Daredevils,6,Wickets,6 wickets,Virender Sehwag,League,208,20,Yes,No
82,2009,Kolkata Knight Riders,Mumbai Indians,Wanderers Stadium,Johannesburg,Kolkata Knight Riders,Bat,Kolkata Knight Riders,7,Wickets,7 wickets,Pat Cummins,League,173,20,Yes,Yes
83,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Wanderers Stadium,Johannesburg,Royal Challengers Bangalore,Field,Kolkata Knight Riders,97,Runs,97 runs,Shubman Gill,League,152,20,No,Yes
84,2009,Delhi Daredevils,Mumbai Indians,Wanderers Stadium,Johannesburg,Mumbai Indians,Field,Delhi Daredevils,88,Runs,88 runs,Virender Sehwag,League,194,20,No,Yes
85,2009,Deccan Chargers,Royal Challengers Bangalore,Kingsmead Stadium,Durban,Deccan Chargers,Bat,Deccan Chargers,8,Wickets,8 wickets,Adam Gilchrist,League,137,20,Yes,Yes
86,2009,Kolkata Knight Riders,Rajasthan Royals,Wanderers Stadium,Johannesburg,Rajasthan Royals,Bat,Kolkata Knight Riders,7,Wickets,7 wickets,Manoj Tiwary,League,134,20,No,No
87,2009,Royal Challengers Bangalore,Chennai Super Kings,St George's Park,Port Elizabeth,Chennai Super Kings,Field,Chennai Super Kings,2,Wickets,2 wickets,Suresh Raina,League,197,20,Yes,No
88,2009,Delhi Daredevils,Chennai Super Kings,Newlands Cricket Ground,Cape Town,Chennai Super Kings,Field,Delhi Daredevils,26,Runs,26 runs,David Warner,League,200,20,No,Yes
89,2009,Royal Challengers Bangalore,Chennai Super Kings,Wanderers Stadium,Johannesburg,Royal Challengers Bangalore,Field,Chennai Super Kings,1,Wickets,1 wickets,MS Dhoni,League,141,20,No,Yes
90,2009,Royal Challengers Bangalore,Kings XI Punjab,Wanderers Stadium,Johannesburg,Kings XI Punjab,Field,Royal Challengers Bangalore,9,Wickets,9 wickets,Chris Gayle,League,191,20,No,Yes
91,2009,Mumbai Indians,Rajasthan Royals,Wanderers Stadium,Johannesburg,Mumbai Indians,Bat,Rajasthan Royals,10,Wickets,10 wickets,Ajinkya Rahane,League,140,20,No,No
92,2009,Deccan Chargers,Chennai Super Kings,St George's Park,Port Elizabeth,Chennai Super Kings,Bat,Chennai Super Kings,4,Wickets,4 wickets,Michael Hussey,League,208,20,Yes,Yes
93,2009,Chennai Super Kings,Delhi Daredevils,Wanderers Stadium,Johannesburg,Chennai Super Kings,Bat,Delhi Daredevils,87,Runs,87 runs,Shikhar Dhawan,League,132,20,No,No
94,2009,Mumbai Indians,Rajasthan Royals,Wanderers Stadium,Johannesburg,Rajasthan Royals,Bat,Rajasthan Royals,38,Runs,38 runs,Ajinkya Rahane,League,177,20,Yes,Yes
95,2009,Mumbai Indians,Kings XI Punjab,St George's Park,Port Elizabeth,Mumbai Indians,Field,Mumbai Indians,4,Wickets,4 wickets,Quinton de Kock,League,210,20,Yes,No
96,2009,Chennai Super Kings,Deccan Chargers,Kingsmead Stadium,Durban,Chennai Super Kings,Field,Chennai Super Kings,48,Runs,48 runs,Ruturaj Gaikwad,League,168,20,Yes,No
97,2009,Kings XI Punjab,Rajasthan Royals,Kingsmead Stadium,Durban,Rajasthan Royals,Field,Kings XI Punjab,8,Wickets,8 wickets,KL Rahul,League,160,20,No,Yes
98,2009,Royal Challengers Bangalore,Mumbai Indians,Newlands Cricket Ground,Cape Town,Royal Challengers Bangalore,Field,Mumbai Indians,6,Wickets,6 wickets,Suryakumar Yadav,League,131,20,No,Yes
99,2009,Kolkata Knight Riders,Royal Challengers Bangalore,Kingsmead Stadium,Durban,Kolkata Knight Riders,Field,Kolkata Knight Riders,12,Runs,12 runs,BB McCullum,League,205,20,Yes,No
100,2009,Chennai Super Kings,Rajasthan Royals,,Durban,Rajasthan Royals,Bat,Rajasthan Royals,56,Runs,56 runs,Shane Warne,League,218,20,Yes,Yes
101,2009,Delhi Daredevils,Kolkata Knight Riders,St George's Park,Port Elizabeth,Delhi Daredevils,Field,Kolkata Knight Riders,7,Wickets,7 wickets,Shubman Gill,League,158,20,No,Yes
102,2009,Deccan Chargers,Mumbai Indians,St George's Park,Port Elizabeth,Deccan Chargers,Field,Deccan Chargers,33,Runs,33 runs,VVS Laxman,League,160,20,Yes,No
103,2009,Kings XI Punjab,Chennai Super Kings,St George's Park,Port Elizabeth,Chennai Super Kings,Field,,75,Runs,75 runs,Mayank Agarwal,League,145,20,No,Yes
104,2009,Deccan Chargers,Mumbai Indians,St George's Park,Port Elizabeth,Mumbai Indians,Bat,Mumbai Indians,94,Runs,94 runs,Sachin Tendulkar,League,186,20,Yes,Yes
105,2009,Mumbai Indians,Kings XI Punjab,St George's Park,Port Elizabeth,Mumbai Indians,Bat,Mumbai Indians,97,Runs,97 runs,Tilak Varma,League,134,20,Yes,Yes
106,2009,Rajasthan Royals,Delhi Daredevils,St George's Park,Port Elizabeth,Delhi Daredevils,Bat,Delhi Daredevils,80,Runs,80 runs,Kagiso Rabada,League,158,20,Yes,Yes
107,2009,Chennai Super Kings,Kings XI Punjab,St George's Park,Port Elizabeth,Chennai Super Kings,Field,Chennai Super Kings,33,Runs,33 runs,Faf du Plessis,League,162,20,Yes,No
108,2009,Mumbai Indians,Kolkata Knight Riders,Wanderers Stadium,Johannesburg,Mumbai Indians,Bat,Kolkata Knight Riders,2,Wickets,2 wickets,Sunil Narine,League,170,20,No,No
109,2009,Chennai Super Kings,Kolkata Knight Riders,Newlands Cricket Ground,Cape Town,Chennai Super Kings,Bat,Chennai Super Kings,4,Runs,4 runs,Shane Watson,League,216,20,Yes,Yes
110,2009,Kolkata Knight Riders,Deccan Chargers,Kingsmead Stadium,Durban,Kolkata Knight Riders,Bat,Deccan Chargers,7,Wickets,7 wickets,Rohit Sharma,League,144,20,No,No
111,2009,Rajasthan Royals,Royal Challengers Bangalore,St George's Park,Port Elizabeth,,Bat,Rajasthan Royals,27,Runs,27 runs,Trent Boult,League,187,20,No,No
112,2009,Chennai Super Kings,Deccan Chargers,Kingsmead Stadium,Durban,Deccan Chargers,Field,Deccan Chargers,4,Runs,4 runs,RP Singh,Playoff,168,20,Yes,No
113,2009,Chennai Super Kings,Deccan Chargers,St George's Park,Port Elizabeth,Chennai Super Kings,Bat,Deccan Chargers,1,Runs,1 runs,Chamara Silva,Playoff,174,20,No,No
114,2009,Chennai Super Kings,Kings XI Punjab,St George's Park,Port Elizabeth,Chennai Super Kings,Field,Chennai Super Kings,10,Wickets,10 wickets,Devon Conway,Playoff,199,20,Yes,No
115,2009,Delhi Daredevils,Kings XI Punjab,Wanderers Stadium,Johannesburg,Delhi Daredevils,Bat,Delhi Daredevils,71,Runs,71 runs,Kagiso Rabada,Final,179,20,Yes,Yes
116,2009,Rajasthan Royals,Chennai Super Kings,Newlands Cricket Ground,Cape Town,Chennai Super Kings,Bat,Rajasthan Royals,4,Wickets,4 wickets,Ajinkya Rahane,Playoff,174,20,No,No
117,2010,Mumbai Indians,Royal Challengers Bangalore,Barabati Stadium,Cuttack,Royal Challengers Bangalore,Field,Mumbai Indians,44,Runs,44 runs,Lasith Malinga,League,164,20,No,Yes
118,2010,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Bat,Kings XI Punjab,13,Runs,13 runs,Mayank Agarwal,League,175,20,No,No
119,2010,Delhi Daredevils,Mumbai Indians,Punjab Cricket Association Stadium,Mohali,Delhi Daredevils,Bat,Mumbai Indians,3,Wickets,3 wickets,Krunal Pandya,League,164,20,No,No
120,2010,Delhi Daredevils,Mumbai Indians,,Jaipur,Mumbai Indians,Bat,Delhi Daredevils,7,Runs,7 runs,Morne Morkel,League,166,20,No,No
121,2010,Royal Challengers Bangalore,Kolkata Knight Riders,Holkar Cricket Stadium,Indore,Kolkata Knight Riders,Bat,Kolkata Knight Riders,8,Wickets,8 wickets,Nitish Rana,League,176,20,Yes,Yes
122,2010,Kings XI Punjab,Delhi Daredevils,Sawai Mansingh Stadium,Jaipur,Delhi Daredevils,Bat,Kings XI Punjab,98,Runs,98 runs,Adam Gilchrist,League,207,20,No,No
